feature,value,importance
0,patient,0.006630443601407356
1,blood,0.0090787592654466
2,left,7.386380300470954E-5
3,histori,1.41669635087878E-4
4,medic,0.0013667511151747623
5,right,0.0
6,pain,1.5352603023218834E-5
7,pm,0.002394683164070459
8,pt,1.5139124755256817E-4
9,follow,0.0
10,normal,0.004490860420627321
11,neg,9.190414680414135E-5
12,ct,5.618653964330623E-4
13,continu,0.005886736045976787
14,hospit,0.005447235521688016
15,hour,0.0
16,chest,0.0
17,present,0.0
18,pleas,1.647229550607142E-4
19,week,5.009706625783156E-4
20,start,2.3752565407647212E-4
21,dr,0.0
22,unit,0.0
23,well,0.0
24,refil,0.0
25,home,3.275995627713515E-4
26,capsul,0.0017371351196766268
27,need,0.005284254578829143
28,disp,0.0
29,statu,1.5311714448841402E-4
30,arteri,0.0
31,also,0.0
32,time,0.0
33,stabl,0.0
34,everi,0.0020699824737627293
35,note,0.0
36,given,0.0
37,cours,0.0
38,transfer,0.0
39,care,0.0033783853380538013
40,releas,0.0
41,diseas,2.460678924920223E-4
42,dai,0.0
43,bilater,0.0
44,seen,0.0
45,chang,0.0
46,hct,0.0
47,instruct,0.0
48,showe,0.0
49,valv,5.812961048175562E-4
50,aortic,0.005008051844336722
51,prior,0.0018748625382523452
52,wbc,0.0
53,take,0.0
54,post,1.697865898389285E-5
55,increas,0.0
56,year,0.0
57,glucos,0.0
58,past,0.0
59,acut,0.0
60,per,0.002011181173952225
61,call,0.0
62,cardiac,0.0
63,mild,0.0
64,inr,7.589018344425096E-4
65,exam,0.0
66,pressur,0.0
67,place,0.0
68,heart,0.0
69,pulmonari,0.0
70,hr,0.0
71,plt,0.0
72,physic,0.0
73,without,0.0
74,like,0.0
75,improv,0.0
76,clear,0.0
77,lung,9.982537882066943E-4
78,bid,0.0011797041265319422
79,sever,0.0
80,ventricular,0.0
81,initi,0.0
82,hi,0.0
83,edema,0.0
84,iv,0.0
85,dose,5.241953310362189E-4
86,rbc,0.0
87,fluid,1.8534121265938686E-5
88,procedur,0.0
89,remain,0.0
90,surgeri,7.462702484990542E-5
91,thi,0.0
92,admit,0.0013822659608998472
93,delai,0.0
94,extrem,0.0
95,urin,0.0
96,hgb,0.0
97,report,0.0
98,famili,0.0
99,condit,0.0
100,cultur,2.2833378273713905E-4
101,surgic,0.0
102,tube,0.008693101919630295
103,deni,0.002178800381331041
104,hypertens,0.00531900631154633
105,result,0.0
106,evid,0.0
107,fever,0.0
108,due,0.0
109,effus,0.001201978736582013
110,us,0.0
111,mcv,0.0
112,creat,0.0
113,breath,0.0
114,rdw,0.0
115,small,0.0
116,appoint,0.0
117,mch,0.0
118,renal,0.0
119,mchc,0.0
120,appear,0.0
121,prn,0.0062097492561694724
122,lower,0.0
123,coronari,0.0
124,chronic,0.0
125,mitral,0.0
126,diagnosi,0.0
127,evalu,0.0
128,non,0.0
129,cm,0.0
130,na,0.0
131,complet,8.966855046552643E-4
132,systol,0.0
133,aspirin,0.0
134,recent,0.019411555869569264
135,requir,0.008103405185036612
136,sodium,0.0
137,soft,0.0
138,rate,0.0
139,ill,0.0
140,moder,0.0
141,elev,0.0
142,head,0.0
143,found,0.0
144,receiv,0.0
145,abdomin,0.0
146,intact,0.0
147,cl,0.0
148,failur,0.022642750141748713
149,atrial,0.0035774111104273257
150,level,0.0
151,social,0.0
152,studi,0.0
153,clinic,0.0011967350797522825
154,mai,0.0
155,infect,0.0
156,posit,0.0
157,floor,1.3870251566453387E-4
158,calcium,0.0
159,wall,0.0014611373395261886
160,old,0.0
161,bowel,0.0
162,concern,0.0
163,abdomen,0.0
164,complaint,0.004181580957549888
165,secondari,0.0
166,urean,0.0
167,bp,0.0
168,hco,0.0
169,low,0.006783898441979324
170,ed,0.0
171,neck,0.0
172,followup,0.0
173,reveal,0.0
174,function,0.0
175,ck,0.0
176,recommend,0.0
177,treat,0.0
178,size,0.0
179,mcg,0.0
180,fractur,0.0
181,howev,0.0
182,intub,0.0
183,remov,0.0
184,drug,0.0
185,within,0.0
186,decreas,0.0
187,discharg,0.0
188,insulin,0.001360918224051974
189,consult,0.0
190,short,0.0
191,respiratori,0.0
192,activ,0.0
193,stenosi,0.0
194,primari,0.0
195,angap,0.0
196,attend,0.0
197,new,0.0
198,lab,0.0032572277057294134
199,back,0.0
200,pneumonia,0.0
201,control,0.0
202,coumadin,0.004118561977572792
203,impress,0.006372058626996471
204,twice,0.0
205,ne,0.0
206,disposit,0.0
207,major,0.0
208,mass,0.0
209,invas,0.0
210,mm,0.0
211,metoprolol,0.0
212,oper,0.0
213,tid,0.004791984273304771
214,regurgit,0.0
215,regular,0.0
216,brief,0.0
217,gener,0.0011035593131204797
218,examin,2.8569372538060823E-4
219,mental,0.0
220,good,0.0
221,mildli,0.0
222,last,0.0
223,postop,0.0
224,toler,0.0
225,chief,0.003571554958854649
226,facil,0.0
227,known,0.0
228,ptt,0.0
229,total,0.0
230,perform,0.0
231,signific,0.0029444027520224127
232,pertin,0.0
233,upper,0.0
234,pleural,0.004196306115387802
235,symptom,2.0743469484983164E-4
236,lasix,0.0
237,heparin,0.0
238,monitor,0.0038411618768350786
239,alert,0.0
240,find,0.0
241,count,0.0
242,multipl,0.016584758888352327
243,mr,0.0
244,cxr,0.0
245,rhythm,0.0014927450233817481
246,work,2.617272497663116E-4
247,line,0.005957131703604585
248,leaflet,0.0
249,final,0.0
250,outpati,0.0
251,develop,0.0
252,sign,0.0
253,incis,0.0
254,puls,0.0
255,antibiot,0.0
256,includ,0.0
257,md,0.0
258,diabet,0.0
259,sinu,0.0
260,bleed,0.0
261,month,0.0
262,room,0.0
263,lesion,0.0
264,dilat,0.010069689010340771
265,consist,0.0
266,therapi,0.0
267,stent,0.0
268,extend,0.0
269,mouth,0.0
270,baselin,0.005471101808411661
271,cell,0.0
272,side,0.0
273,base,0.0
274,sinc,0.0
275,set,0.0
276,icu,0.0
277,live,0.0
278,episod,0.0
279,underw,0.00271460067804618
280,contrast,0.0
281,imag,0.0
282,heent,0.0
283,inhal,0.0
284,possibl,0.0
285,none,0.0
286,throughout,0.004362527336586266
287,placem,0.0
288,provid,0.0
289,lobe,0.0
290,nausea,0.0
291,liver,0.00587460589234955
292,hypotens,0.0
293,wound,0.0
294,hemorrhag,0.0
295,tender,0.0
296,potassium,0.0
297,alcohol,0.0
298,pho,0.0
299,felt,0.0
300,graft,0.0
301,manag,0.0
