feature,value
0,patient
1,blood
2,left
3,histori
4,medic
5,right
6,pain
7,pm
8,pt
9,follow
10,normal
11,neg
12,ct
13,continu
14,hospit
15,hour
16,chest
17,present
18,pleas
19,week
20,start
21,dr
22,unit
23,well
24,refil
25,home
26,capsul
27,need
28,disp
29,statu
30,arteri
31,also
32,time
33,stabl
34,everi
35,note
36,given
37,cours
38,transfer
39,care
40,releas
41,diseas
42,dai
43,bilater
44,seen
45,chang
46,hct
47,instruct
48,showe
49,valv
50,aortic
51,prior
52,wbc
53,take
54,post
55,increas
56,year
57,glucos
58,past
59,acut
60,per
61,call
62,cardiac
63,mild
64,inr
65,exam
66,pressur
67,place
68,heart
69,pulmonari
70,hr
71,plt
72,physic
73,without
74,like
75,improv
76,clear
77,lung
78,bid
79,sever
80,ventricular
81,initi
82,hi
83,edema
84,iv
85,dose
86,rbc
87,fluid
88,procedur
89,remain
90,surgeri
91,thi
92,admit
93,delai
94,extrem
95,urin
96,hgb
97,report
98,famili
99,condit
100,cultur
101,surgic
102,tube
103,deni
104,hypertens
105,result
106,evid
107,fever
108,due
109,effus
110,us
111,mcv
112,creat
113,breath
114,rdw
115,small
116,appoint
117,mch
118,renal
119,mchc
120,appear
121,prn
122,lower
123,coronari
124,chronic
125,mitral
126,diagnosi
127,evalu
128,non
129,cm
130,na
131,complet
132,systol
133,aspirin
134,recent
135,requir
136,sodium
137,soft
138,rate
139,ill
140,moder
141,elev
142,head
143,found
144,receiv
145,abdomin
146,intact
147,cl
148,failur
149,atrial
150,level
151,social
152,studi
153,clinic
154,mai
155,infect
156,posit
157,floor
158,calcium
159,wall
160,old
161,bowel
162,concern
163,abdomen
164,complaint
165,secondari
166,urean
167,bp
168,hco
169,low
170,ed
171,neck
172,followup
173,reveal
174,function
175,ck
176,recommend
177,treat
178,size
179,mcg
180,fractur
181,howev
182,intub
183,remov
184,drug
185,within
186,decreas
187,discharg
188,insulin
189,consult
190,short
191,respiratori
192,activ
193,stenosi
194,primari
195,angap
196,attend
197,new
198,lab
199,back
200,pneumonia
201,control
202,coumadin
203,impress
204,twice
205,ne
206,disposit
207,major
208,mass
209,invas
210,mm
211,metoprolol
212,oper
213,tid
214,regurgit
215,regular
216,brief
217,gener
218,examin
219,mental
220,good
221,mildli
222,last
223,postop
224,toler
225,chief
226,facil
227,known
228,ptt
229,total
230,perform
231,signific
232,pertin
233,upper
234,pleural
235,symptom
236,lasix
237,heparin
238,monitor
239,alert
240,find
241,count
242,multipl
243,mr
244,cxr
245,rhythm
